Market,state_code,Count_of_Market
 Manufacturing ,MO,10
 Manufacturing ,NC,11
 Manufacturing ,ND,1
 Manufacturing ,NE,1
 Manufacturing ,NH,4
 Manufacturing ,NJ,16
 Manufacturing ,NM,2
 Manufacturing ,NV,6
 Manufacturing ,NY,24
 Manufacturing ,OH,14
 Manufacturing ,OK,7
 Manufacturing ,OR,6
 Manufacturing ,PA,18
 Manufacturing ,RI,1
 Manufacturing ,SC,4
 Manufacturing ,SD,1
 Manufacturing ,TN,5
 Manufacturing ,TX,42
 Manufacturing ,UT,14
 Manufacturing ,VA,5
 Manufacturing ,VT,2
 Manufacturing ,WA,12
 Manufacturing ,WV,2
 Mobile ,AK,1
 Mobile ,AL,5
 Mobile ,AR,3
 Mobile ,AZ,15
 Mobile ,CA,536
 Mobile ,CO,25
 Mobile ,CT,6
 Mobile ,DC,8
 Mobile ,DE,1
 Mobile ,FL,36
 Mobile ,GA,29
 Mobile ,HI,2
 Mobile ,IA,3
 Mobile ,IL,25
 Mobile ,IN,8
 Mobile ,KS,4
 Mobile ,LA,1
 Mobile ,MA,70
 Mobile ,MD,14
 Mobile ,ME,2
 Mobile ,MI,4
 Mobile ,MN,6
 Mobile ,MO,4
 Mobile ,MS,2
 Mobile ,NC,18
 Mobile ,ND,1
 Mobile ,NE,1
 Mobile ,NH,3
 Mobile ,NJ,16
 Mobile ,NM,1
 Mobile ,NV,6
 Mobile ,NY,130
 Mobile ,OH,12
 Mobile ,OK,4
 Mobile ,OR,13
 Mobile ,PA,18
 Mobile ,RI,1
 Mobile ,SC,5
 Mobile ,TN,7
 Mobile ,TX,57
 Mobile ,UT,9
 Mobile ,VA,28
 Mobile ,WA,49
 Mobile ,WI,3
 Real Estate ,AK,1
 Real Estate ,AL,5
 Real Estate ,AZ,2
 Real Estate ,CA,81
 Real Estate ,CO,7
 Real Estate ,CT,4
 Real Estate ,DC,7
 Real Estate ,DE,1
 Real Estate ,FL,32
 Real Estate ,GA,17
 Real Estate ,IA,1
 Real Estate ,IL,17
 Real Estate ,IN,6
 Real Estate ,KS,1
 Real Estate ,KY,1
 Real Estate ,LA,2
 Real Estate ,MA,14
 Real Estate ,MD,8
 Real Estate ,MI,6
 Real Estate ,MN,4
 Real Estate ,MO,3
 Real Estate ,MS,1
 Real Estate ,NC,9
 Real Estate ,NE,2
 Real Estate ,NH,1
 Real Estate ,NJ,13
 Real Estate ,NM,2
 Real Estate ,NV,6
 Real Estate ,NY,45
 Real Estate ,OH,8
 Real Estate ,OK,3
 Real Estate ,OR,2
 Real Estate ,PA,10
 Real Estate ,SC,3
 Real Estate ,TN,4
 Real Estate ,TX,27
 Real Estate ,UT,6
 Real Estate ,VA,7
 Real Estate ,VT,2
 Real Estate ,WA,12
 Real Estate ,WI,1
 Real Estate ,WY,2
 Security ,AL,1
 Security ,AZ,6
 Security ,CA,149
 Security ,CO,15
 Security ,CT,1
 Security ,DC,1
 Security ,FL,11
 Security ,GA,9
 Security ,ID,1
 Security ,IL,8
 Security ,IN,2
 Security ,KS,3
 Security ,LA,4
 Security ,MA,32
 Security ,MD,15
 Security ,MI,1
 Security ,MN,5
 Security ,MO,3
 Security ,MT,1
 Security ,NC,1
 Security ,NE,1
 Security ,NH,3
 Security ,NJ,5
 Security ,NV,4
 Security ,NY,21
 Security ,OH,5
 Security ,OK,2
 Security ,OR,3
 Security ,PA,8
 Security ,RI,1
 Security ,TN,4
 Security ,TX,23
 Security ,UT,4
 Security ,VA,22
 Security ,WA,9
 Social Media ,AR,1
 Social Media ,AZ,4
 Social Media ,CA,193
 Social Media ,CO,6
 Social Media ,CT,3
 Social Media ,DC,5
 Social Media ,DE,2
 Social Media ,FL,13
 Social Media ,GA,6
 Social Media ,IA,1
 Social Media ,IL,6
 Social Media ,IN,2
 Social Media ,LA,2
 Social Media ,MA,22
 Social Media ,MD,3
 Social Media ,MI,2
 Social Media ,MN,2
 Social Media ,MO,5
 Social Media ,MS,1
 Social Media ,NC,3
 Social Media ,ND,1
 Social Media ,NH,1
 Social Media ,NJ,3
 Social Media ,NM,1
 Social Media ,NV,1
 Social Media ,NY,77
 Social Media ,OH,7
 Social Media ,OK,2
 Social Media ,OR,4
 Social Media ,PA,12
 Social Media ,SC,2
 Social Media ,TN,3
 Social Media ,TX,19
 Social Media ,UT,3
 Social Media ,VA,6
 Social Media ,VT,1
 Social Media ,WA,16
 Social Media ,WI,5
 Software ,AK,3
 Software ,AL,16
 Software ,AR,18
 Software ,AZ,41
 Software ,CA,1080
 Software ,CO,120
 Software ,CT,39
 Software ,DC,22
 Software ,DE,7
 Software ,FL,86
 Software ,GA,89
 Software ,HI,2
 Software ,IA,10
 Software ,ID,9
 Software ,IL,110
 Software ,IN,38
 Software ,KS,10
 Software ,KY,14
 Software ,LA,9
 Software ,MA,266
 Software ,MD,52
 Software ,ME,6
 Software ,MI,44
 Software ,MN,51
 Software ,MO,27
 Software ,MS,2
 Software ,MT,5
 Software ,NC,67
 Software ,ND,1
 Software ,NE,18
 Software ,NH,16
 Software ,NJ,66
 Software ,NM,8
 Software ,NV,17
 Software ,NY,284
 Software ,OH,64
 Software ,OK,13
 Software ,OR,49
 Software ,PA,94
 Software ,RI,14
 Software ,SC,11
 Software ,SD,1
 Software ,TN,31
 Software ,TX,205
 Software ,UT,56
 Software ,VA,93
 Software ,VT,3
 Software ,WA,159
 Software ,WI,26
 Software ,WV,3
 Software ,WY,2
Other,AK,7
Other,AL,39
Other,AR,100
Other,AZ,160
Other,CA,5043
Other,CO,351
Other,CT,105
Other,DC,124
Other,DE,51
Other,FL,479
Other,GA,237
Other,HI,30
Other,IA,32
Other,ID,24
Other,IL,446
Other,IN,77
Other,KS,39
Other,KY,50
Other,LA,36
Other,MA,779
Other,MD,195
Other,ME,21
Other,MI,146
Other,MN,120
Other,MO,114
Other,MS,20
Other,MT,7
Other,NC,216
Other,ND,10
Other,NE,47
Other,NH,50
Other,NJ,229
Other,NM,32
Other,NV,105
Other,NY,1729
Other,OH,249
Other,OK,28
Other,OR,161
Other,PA,328
Other,RI,32
Other,SC,71
Other,SD,4
Other,TN,186
Other,TX,737
Other,UT,147
Other,VA,268
Other,VT,21
Other,WA,430
Other,WI,72
Other,WV,5
Other,WY,15
